,UserId,Date,Revenue,Country,DOB,Gender,RegDate,days_since_reg
0,1326865,2017-02-19,17.05,DE,1988-05-04,M,2016-03-24,332 days
1,1326865,2017-02-28,17.05,DE,1988-05-04,M,2016-03-24,341 days
2,1326865,2017-03-06,17.16,DE,1988-05-04,M,2016-03-24,347 days
3,1326865,2017-03-07,17.16,DE,1988-05-04,M,2016-03-24,348 days
4,1326865,2017-03-08,17.16,DE,1988-05-04,M,2016-03-24,349 days
5,1326865,2017-03-21,17.16,DE,1988-05-04,M,2016-03-24,362 days
6,1326865,2017-03-29,17.16,DE,1988-05-04,M,2016-03-24,370 days
7,1326865,2017-03-30,21.45,DE,1988-05-04,M,2016-03-24,371 days
8,1326865,2017-04-04,17.09,DE,1988-05-04,M,2016-03-24,376 days
9,1326865,2017-04-05,17.09,DE,1988-05-04,M,2016-03-24,377 days
10,1326865,2017-04-19,17.09,DE,1988-05-04,M,2016-03-24,391 days
11,1326865,2017-04-23,34.17,DE,1988-05-04,M,2016-03-24,395 days
12,1326865,2017-05-02,21.36,DE,1988-05-04,M,2016-03-24,404 days
13,1326865,2017-05-04,17.01,DE,1988-05-04,M,2016-03-24,406 days
14,1326865,2017-05-16,17.01,DE,1988-05-04,M,2016-03-24,418 days
15,1326865,2017-06-14,16.89,DE,1988-05-04,M,2016-03-24,447 days
16,1326865,2017-06-21,16.89,DE,1988-05-04,M,2016-03-24,454 days
17,1326865,2017-08-14,17.56,DE,1988-05-04,M,2016-03-24,508 days
18,1326865,2017-09-23,17.91,DE,1988-05-04,M,2016-03-24,548 days
19,1333278,2017-01-14,25.0,GB,1971-07-21,M,2016-02-09,340 days
20,1333278,2017-05-26,20.0,GB,1971-07-21,M,2016-02-09,472 days
21,1336967,2016-12-12,20.0,GB,1983-07-31,M,2016-01-29,318 days
22,1339784,2016-12-26,29.19,Other,1976-09-21,M,2016-01-21,340 days
23,1339784,2016-12-29,30.09,Other,1976-09-21,M,2016-01-21,343 days
24,1339829,2017-02-19,17.05,Other,1981-05-03,F,2016-04-12,313 days
25,1346806,2017-04-11,17.05,DE,1984-08-04,M,2016-05-08,338 days
26,1361182,2016-10-17,20.0,GB,1986-09-30,M,2015-11-26,326 days
27,1361182,2016-10-18,20.0,GB,1986-09-30,M,2015-11-26,327 days
28,1361182,2016-10-26,20.0,GB,1986-09-30,M,2015-11-26,335 days
29,1361182,2016-11-03,20.0,GB,1986-09-30,M,2015-11-26,343 days
30,1361182,2016-11-07,20.0,GB,1986-09-30,M,2015-11-26,347 days
31,1392534,2017-01-09,46.9,FR,1973-03-31,M,2016-02-25,319 days
32,1405503,2017-04-04,25.39,DE,1983-05-03,M,2016-05-14,325 days
33,1405503,2017-04-06,17.82,DE,1983-05-03,M,2016-05-14,327 days
34,1415290,2016-12-01,50.0,GB,1984-11-05,F,2016-01-14,322 days
35,1415290,2016-12-31,20.0,GB,1984-11-05,F,2016-01-14,352 days
36,1415290,2017-02-14,20.0,GB,1984-11-05,F,2016-01-14,397 days
37,1415290,2017-05-30,20.0,GB,1984-11-05,F,2016-01-14,502 days
38,1415290,2017-08-07,20.0,GB,1984-11-05,F,2016-01-14,571 days
39,1415290,2017-09-19,20.0,GB,1984-11-05,F,2016-01-14,614 days
40,1417297,2017-04-16,11.68,Other,1980-01-11,M,2016-05-28,323 days
41,1494447,2016-09-30,20.0,GB,1996-08-08,M,2015-12-21,284 days
42,1610096,2017-03-02,50.0,GB,1962-06-17,F,2016-05-31,275 days
43,1610096,2017-09-06,100.0,GB,1962-06-17,F,2016-05-31,463 days
44,1617757,2017-03-13,11.68,Other,1978-11-24,F,2016-06-05,281 days
45,1617757,2017-07-13,11.64,Other,1978-11-24,F,2016-06-05,403 days
46,1618208,2016-12-01,21.32,DE,1973-12-18,M,2016-02-22,283 days
47,1629211,2016-10-04,30.0,GB,1986-03-29,F,2016-01-20,258 days
48,1629211,2016-10-09,58.0,GB,1986-03-29,F,2016-01-20,263 days
49,1629211,2016-10-16,20.0,GB,1986-03-29,F,2016-01-20,270 days
50,1629211,2016-10-23,20.0,GB,1986-03-29,F,2016-01-20,277 days
51,1629211,2016-11-03,20.0,GB,1986-03-29,F,2016-01-20,288 days
52,1629211,2016-11-06,20.0,GB,1986-03-29,F,2016-01-20,291 days
53,1629211,2016-11-08,20.0,GB,1986-03-29,F,2016-01-20,293 days
54,1629211,2016-11-19,20.0,GB,1986-03-29,F,2016-01-20,304 days
55,1629211,2016-11-20,49.75,GB,1986-03-29,F,2016-01-20,305 days
56,1629211,2016-11-23,55.0,GB,1986-03-29,F,2016-01-20,308 days
57,1629211,2016-12-27,20.0,GB,1986-03-29,F,2016-01-20,342 days
58,1629211,2017-02-03,50.0,GB,1986-03-29,F,2016-01-20,380 days
59,1629211,2017-02-04,30.0,GB,1986-03-29,F,2016-01-20,381 days
60,1629211,2017-02-07,30.65,GB,1986-03-29,F,2016-01-20,384 days
61,1629211,2017-02-12,190.0,GB,1986-03-29,F,2016-01-20,389 days
62,1629211,2017-02-26,160.0,GB,1986-03-29,F,2016-01-20,403 days
63,1629211,2017-02-27,350.0,GB,1986-03-29,F,2016-01-20,404 days
64,1629211,2017-03-01,55.0,GB,1986-03-29,F,2016-01-20,406 days
65,1629211,2017-03-08,50.0,GB,1986-03-29,F,2016-01-20,413 days
66,1629211,2017-03-09,50.0,GB,1986-03-29,F,2016-01-20,414 days
67,1629211,2017-03-11,153.0,GB,1986-03-29,F,2016-01-20,416 days
68,1629211,2017-03-12,50.0,GB,1986-03-29,F,2016-01-20,417 days
69,1629211,2017-03-14,57.0,GB,1986-03-29,F,2016-01-20,419 days
70,1629211,2017-03-15,300.0,GB,1986-03-29,F,2016-01-20,420 days
71,1629211,2017-03-21,201.0,GB,1986-03-29,F,2016-01-20,426 days
72,1629211,2017-03-22,200.0,GB,1986-03-29,F,2016-01-20,427 days
73,1629211,2017-03-23,300.0,GB,1986-03-29,F,2016-01-20,428 days
74,1629211,2017-03-24,25.0,GB,1986-03-29,F,2016-01-20,429 days
75,1629211,2017-03-27,50.0,GB,1986-03-29,F,2016-01-20,432 days
76,1629211,2017-03-31,27.0,GB,1986-03-29,F,2016-01-20,436 days
77,1629211,2017-04-01,65.0,GB,1986-03-29,F,2016-01-20,437 days
78,1629211,2017-04-02,40.0,GB,1986-03-29,F,2016-01-20,438 days
79,1629211,2017-04-04,50.0,GB,1986-03-29,F,2016-01-20,440 days
80,1629211,2017-04-06,30.0,GB,1986-03-29,F,2016-01-20,442 days
81,1629211,2017-04-07,194.0,GB,1986-03-29,F,2016-01-20,443 days
82,1629211,2017-04-08,23.9,GB,1986-03-29,F,2016-01-20,444 days
83,1629211,2017-04-09,331.0,GB,1986-03-29,F,2016-01-20,445 days
84,1629211,2017-04-10,50.0,GB,1986-03-29,F,2016-01-20,446 days
85,1629211,2017-04-12,135.0,GB,1986-03-29,F,2016-01-20,448 days
